"","iterations","available_data_points","prop_coded_data","n_lg","n_var","worst_lg_abs","worst_lg_abs_coding_density","worst_var_abs","worst_var_abs_coding_density","removed_lg","removed_var","taxonomic_index","na_distribution_index"
"1","0 (full)","281843","0.58587301092368","2467","195","quey1238","0.0153846153846154","GB197CC","0.0397243615727604","NA","NA","3.73345468396979","0.28055091453274"
"2","1","281838","0.586100193399464","2466","195","quey1238","0.0153846153846154","GB197CC","0.0397404703974047","east2449","NA","3.73434929062621","0.280413149283875"
"3","2","281835","0.586331721017319","2465","195","geme1244;mehi1240","0.0205128205128205","GB197CC","0.0397565922920892","quey1238","NA","3.73483600814389","0.280261298221818"
"4","3","281831","0.586561355311355","2464","195","mehi1240","0.0205128205128205","GB197CC","0.0397727272727273","geme1244","NA","3.73551494106799","0.280114913060881"
"5","4","281825","0.586787011878364","2463","195","mehi1240","0.0205128205128205","GB197CC","0.0397888753552578","mmen1238","NA","3.73619329291876","0.279979716874017"
"6","5","281814","0.587002437043054","2462","195","mehi1240","0.0205128205128205","GB197CC","0.0398050365556458","homa1239","NA","3.73687105889584","0.279847234840909"
"7","6","281805","0.587222204857313","2461","195","mehi1240","0.0205128205128205","GB197CC","0.0398212108898822","bera1262","NA","3.73776893636483","0.279709087143557"
"8","7","281795","0.587440066708359","2460","195","mehi1240","0.0205128205128205","GB197CC","0.0398373983739837","cent2060","NA","3.73866694774991","0.279574430290378"
"9","8","281791","0.587670618658825","2459","195","cuaa1241","0.0256410256410256","GB197CC","0.0398535990239935","mehi1240","NA","3.73854644856975","0.279428246091299"
"10","9","281786","0.58789927186998","2458","195","japa1238","0.0307692307692308","GB197CC","0.0398698128559805","cuaa1241","NA","3.73867642844085","0.27927734535721"
"11","10","281776","0.588117675297163","2457","195","japa1238","0.0307692307692308","GB197CC","0.0398860398860399","goro1270","NA","3.73896747037691","0.27915220043797"
"12","11","281754","0.588311200200451","2456","195","japa1238","0.0307692307692308","GB197CC","0.0399022801302932","ilia1236","NA","3.73986733087215","0.279058399415332"
"13","12","281727","0.588494438351872","2455","195","japa1238","0.0307692307692308","GB197CC","0.039918533604888","bodo1272","NA","3.74054837572815","0.278966518503838"
"14","13","281720","0.588719620504462","2454","195","japa1238","0.0307692307692308","GB197CC","0.0399348003259984","tain1254","NA","3.74041974941848","0.278827135412341"
"15","14","281692","0.588901083968349","2453","195","japa1238","0.0307692307692308","GB197CC","0.0399510803098247","poly1242","NA","3.74132103435574","0.278742558388172"
"16","15","281681","0.589118249884971","2452","195","japa1238","0.0307692307692308","GB197CC","0.0399673735725938","wira1262","NA","3.74147323808685","0.278611829160102"
"17","16","281669","0.58933350071661","2451","195","japa1238","0.0307692307692308","GB197CC","0.039983680130559","cent1972","NA","3.74159045101341","0.278498837039407"
"18","17","281643","0.589519623233909","2450","195","japa1238","0.0307692307692308","GB197CC","0.04","bana1288","NA","3.74249304811692","0.27841551165167"
"19","18","281615","0.589701709750709","2449","195","japa1238","0.0307692307692308","GB197CC","0.0400163331972234","nalo1235","NA","3.74339577856625","0.278323143033926"
"20","19","281590","0.589890229596112","2448","195","japa1238","0.0307692307692308","GB197CC","0.0400326797385621","maku1277","NA","3.7442986411359","0.278228465555881"
"21","20","281561","0.59007052067943","2447","195","japa1238","0.0307692307692308","GB197CC","0.040049039640376","ngul1236","NA","3.74520163459291","0.278144164155837"
"22","21","281533","0.590253055747741","2446","195","japa1238","0.0307692307692308","GB197CC","0.0400654129190515","bamb1266","NA","3.74588754857","0.27808754151732"
"23","22","281494","0.590412668449478","2445","195","japa1238","0.0307692307692308","GB197CC","0.040081799591002","ramo1244","NA","3.74679148879774","0.278016023404584"
"24","23","281453","0.590568215199966","2444","195","japa1238","0.0307692307692308","GB197CC","0.0400981996726678","labe1239","NA","3.74769555821393","0.277968629984017"
"25","24","281355","0.593405689506808","2444","194","japa1238","0.0309278350515464","GB285c","0.0409165302782324","NA","GB197CC","3.74769555821393","0.276049243676146"
"26","25","281255","0.596268327637526","2444","193","japa1238","0.0310880829015544","GB556OM","0.0707855973813421","NA","GB285c","3.74769555821393","0.274063606357284"
"27","26","281218","0.596433926689134","2443","193","japa1238","0.0310880829015544","GB556OM","0.070814572247237","zulu1248","NA","3.74838251288198","0.273994554641374"
"28","27","281200","0.596639974878317","2442","193","japa1238","0.0310880829015544","GB556OM","0.0708435708435708","east2333","NA","3.74851492711824","0.273876683248541"
"29","28","281163","0.59680586186329","2441","193","japa1238","0.0310880829015544","GB556OM","0.0708725931995084","papa1268","NA","3.74942053642877","0.273825285742772"
"30","29","281112","0.596942155780175","2440","193","japa1238","0.0310880829015544","GB556OM","0.0709016393442623","maro1244","NA","3.75032627380842","0.273784305907654"
"31","30","281068","0.597093432074217","2439","193","japa1238","0.0310880829015544","GB556OM","0.0709307093070931","zigu1244","NA","3.75101477423817","0.27375844472814"
"32","31","281051","0.597302214080173","2438","193","japa1238","0.0310880829015544","GB556OM","0.0709598031173093","nyun1247","NA","3.75116929313145","0.27362425582061"
"33","32","281007","0.597453762270353","2437","193","japa1238","0.0310880829015544","GB556OM","0.0709889208042675","mera1242","NA","3.7520765832129","0.27356065615353"
"34","33","280972","0.597624577792525","2436","193","japa1238","0.0310880829015544","GB556OM","0.0710180623973727","tagb1258","NA","3.75298400022816","0.273481234368759"
"35","34","280922","0.59776361566533","2435","193","japa1238","0.0310880829015544","GB556OM","0.071047227926078","kapi1249","NA","3.75389154289274","0.273436548001956"
"36","35","280870","0.597898510309476","2434","193","japa1238","0.0310880829015544","GB556OM","0.071076417419885","sisi1250","NA","3.75479920991429","0.273387223323637"
