"","mean.type","min_variability","consider_taxonomic_diversity","seed","taxonomy_weight","coding_weight","iteration_log_id","score","full_coding_proprotion","number_languages","number_families","number_variables","increase_factor_coding_proportion","proportion_languages_kept","proportion_families_kept","proportion_variables_kept"
"1","original",NA,NA,NA,NA,NA,NA,NA,"0.156821748130342","2496","317","192","1","1","1","1"
"2","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points * coding_density","0.410953446320758","974","207","134","2.621","0.39","0.653","0.698"
"3","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points * coding_density * row_coding_density_min * col_coding_density_min * taxonomic_index","0.936814392277315","159","93","86","5.974","0.064","0.293","0.448"
"4","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points * coding_density * taxonomic_index","0.425290855534894","907","202","134","2.712","0.363","0.637","0.698"
"5","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points * coding_density * row_coding_density_min * taxonomic_index","0.886722526587174","174","98","107","5.654","0.07","0.309","0.557"
"6","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points * coding_density * row_coding_density_min","0.886722526587174","174","98","107","5.654","0.07","0.309","0.557"
"7","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points^0.5 * coding_density","0.818721719457014","208","111","119","5.221","0.083","0.35","0.62"
"8","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points^0.5 * coding_density * taxonomic_index^0.5","0.83594489883771","202","110","115","5.331","0.081","0.347","0.599"
"9","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points^0.5 * coding_density * taxonomic_index","0.83594489883771","202","110","115","5.331","0.081","0.347","0.599"
"10","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points^0.5 * coding_density^0.5 * taxonomic_index","0.425290855534894","907","202","134","2.712","0.363","0.637","0.698"
"11","arithmetic","3","FALSE","2023",NA,NA,"dr_arith_taxfalse","n_data_points^0.5 * coding_density^0.5 * row_coding_density_min^0.5 * taxonomic_index","0.886722526587174","174","98","107","5.654","0.07","0.309","0.557"
"12","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points * coding_density","0.345642815171901","1083","315","154","2.204","0.434","0.994","0.802"
"13","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points * coding_density * row_coding_density_min * col_coding_density_min * taxonomic_index","0.883037860576923","104","82","128","5.631","0.042","0.259","0.667"
"14","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points * coding_density * taxonomic_index","0.38155753759002","862","314","154","2.433","0.345","0.991","0.802"
"15","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points * coding_density * row_coding_density_min * taxonomic_index","0.859519757988278","123","98","129","5.481","0.049","0.309","0.672"
"16","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points * coding_density * row_coding_density_min","0.859519757988278","123","98","129","5.481","0.049","0.309","0.672"
"17","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points^0.5 * coding_density","0.746666666666667","195","141","135","4.761","0.078","0.445","0.703"
"18","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points^0.5 * coding_density * taxonomic_index^0.5","0.692725130240635","232","164","139","4.417","0.093","0.517","0.724"
"19","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points^0.5 * coding_density * taxonomic_index","0.692725130240635","232","164","139","4.417","0.093","0.517","0.724"
"20","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points^0.5 * coding_density^0.5 * taxonomic_index","0.404715230860783","742","310","154","2.581","0.297","0.978","0.802"
"21","arithmetic","3","TRUE","2023",NA,NA,"dr_arith_taxtrue","n_data_points^0.5 * coding_density^0.5 * row_coding_density_min^0.5 * taxonomic_index","0.859519757988278","123","98","129","5.481","0.049","0.309","0.672"
"22","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points * coding_density","0.419680646402462","904","202","138","2.676","0.362","0.637","0.719"
"23","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points * coding_density * row_coding_density_min * col_coding_density_min * taxonomic_index","0.936814392277315","159","93","86","5.974","0.064","0.293","0.448"
"24","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points * coding_density * taxonomic_index","0.420137215206144","902","202","138","2.679","0.361","0.637","0.719"
"25","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points * coding_density * row_coding_density_min * taxonomic_index","0.89140046424229","166","96","109","5.684","0.067","0.303","0.568"
"26","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points * coding_density * row_coding_density_min","0.89140046424229","166","96","109","5.684","0.067","0.303","0.568"
"27","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points^0.5 * coding_density","0.818478260869565","207","110","120","5.219","0.083","0.347","0.625"
"28","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points^0.5 * coding_density * taxonomic_index^0.5","0.828212407113634","203","110","118","5.281","0.081","0.347","0.615"
"29","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points^0.5 * coding_density * taxonomic_index","0.828212407113634","203","110","118","5.281","0.081","0.347","0.615"
"30","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points^0.5 * coding_density^0.5 * taxonomic_index","0.420137215206144","902","202","138","2.679","0.361","0.637","0.719"
"31","geometric","3","FALSE","2023",NA,NA,"dr_geom_taxfalse","n_data_points^0.5 * coding_density^0.5 * row_coding_density_min^0.5 * taxonomic_index","0.89140046424229","166","96","109","5.684","0.067","0.303","0.568"
"32","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points * coding_density","0.292375429956957","1282","303","166","1.864","0.514","0.956","0.865"
"33","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points * coding_density * row_coding_density_min * col_coding_density_min * taxonomic_index","0.815530799475754","56","56","109","5.2","0.022","0.177","0.568"
"34","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points * coding_density * taxonomic_index","0.308792671885818","1138","302","165","1.969","0.456","0.953","0.859"
"35","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points * coding_density * row_coding_density_min * taxonomic_index","0.690049496501109","93","92","126","4.4","0.037","0.29","0.656"
"36","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points * coding_density * row_coding_density_min","0.815530799475754","56","56","109","5.2","0.022","0.177","0.568"
"37","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points^0.5 * coding_density","0.326477675059009","992","299","164","2.082","0.397","0.943","0.854"
"38","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points^0.5 * coding_density * taxonomic_index^0.5","0.326477675059009","992","299","164","2.082","0.397","0.943","0.854"
"39","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points^0.5 * coding_density * taxonomic_index","0.363453079178886","682","288","160","2.318","0.273","0.909","0.833"
"40","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points^0.5 * coding_density^0.5 * taxonomic_index","0.326477675059009","992","299","164","2.082","0.397","0.943","0.854"
"41","geometric","3","TRUE","2023",NA,NA,"dr_geom_taxtrue","n_data_points^0.5 * coding_density^0.5 * row_coding_density_min^0.5 * taxonomic_index","0.524182888728671","228","201","146","3.343","0.091","0.634","0.76"
